"ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","SOS","WR"
117.9,96.7,0.9076,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,65.1,3.2,0.5628,0.727272727272727
108.8,89.2,0.9072,50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,49.8,44.8,33.8,31.8,66.9,2.4,0.5386,0.692307692307692
114.4,94.3,0.9025,55.7,46.9,15.8,17.8,24.8,28.2,26.9,25.7,56.3,46.1,36.7,32.1,69.1,3.5,0.542,0.714285714285714
113.7,93.5,0.9045,52,47.7,16.8,19.8,30.9,25.6,29.9,28,50.3,46.5,36.7,33.3,66.3,2.6,0.5483,0.733333333333333
112.3,92.2,0.9057,49.7,47.9,16.2,23.8,33.8,29.7,39.3,36.4,48.7,44.8,34.7,35.1,65.7,0.9,0.5687,0.62962962962963
112.8,93.3,0.8991,55,46.6,19,16,28.6,23.3,27.8,29.4,54.5,45.5,37.3,32.4,68.2,3.3,0.5879,0.8
112,92,0.9052,52.1,45.4,18.1,17.4,35.7,27.3,37.5,24.8,52.1,42.2,34.8,34.2,67.2,3.6,0.5825,0.758620689655172
111.1,90,0.9191,52.7,46.7,16.9,22.5,29.9,24.4,34.3,32.7,50.5,44.6,37.5,32.8,66,2.8,0.5553,0.884615384615385
110.6,93.4,0.8748,52.5,47.5,20.7,20.5,30.7,31.5,33.8,34.8,51.9,48.4,35.7,30.6,68.6,1.4,0.5449,0.608695652173913
114.6,92.8,0.9188,49.5,46.2,17.6,19.6,36.9,29.8,29.6,36.9,49,45.6,33.6,31.6,65.7,2.1,0.5316,0.681818181818182
105.9,91.9,0.8374,50.4,48.7,19.5,21.6,26.6,26.6,23.6,29.6,49.2,47.5,34.6,33.7,64.4,2.9,0.5611,0.695652173913043
113.1,98.2,0.835,54.4,50.1,16.8,20.3,28.3,27.2,26.8,27.1,52.9,49.9,37.9,33.6,67.2,3,0.5412,0.769230769230769
111,94.5,0.8642,50.8,48.9,15.8,18.7,27.3,27.5,29.1,22.8,50.8,46.3,33.8,35.4,67.6,0.3,0.5595,0.6
108.8,91.6,0.8777,48.5,48.7,20.5,19.3,41.2,26.3,34.9,27.1,48.9,46.8,31.7,34.4,71.8,2.3,0.5525,0.642857142857143
119.3,99.8,0.8868,52.8,48.5,16.1,18.4,31.5,32.8,33.9,29.1,53,51.3,35,30,70.4,2.4,0.5866,0.666666666666667
108.5,88.3,0.9136,56.3,46.7,18.5,21.6,26,21,30.7,22.4,58,45.5,35.7,32.5,63.9,1.7,0.5233,0.923076923076923
111.1,92.9,0.8864,50.5,45.5,16.9,19.5,33.6,28.4,27.8,28.3,49.3,45.1,35.4,30.6,64.7,2.1,0.5481,0.8
111.3,95,0.8599,50.9,48.5,18.9,18.4,28.6,29.2,37.5,36.4,52.6,48.3,32,32.7,68.6,2.1,0.5812,0.64
111.3,90.4,0.9163,49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,46.3,47.1,36,33,65,2.2,0.549,0.586206896551724
113,94.8,0.882,53.9,52.2,15.9,22.7,24.8,29.7,29,28.9,54.8,50.7,34.9,36.7,67.7,1.9,0.5418,0.68
106.7,91.9,0.847,50.2,47.7,16.4,18.9,27.4,29.1,27.7,33.2,51.9,47.4,31.1,32.1,67.8,1.9,0.5666,0.576923076923077
109.3,94.5,0.8426,52.5,48.4,17.3,17.6,28.4,24.3,33.2,30.9,51.7,47.6,35.7,33,66.5,0.9,0.5167,0.714285714285714
110,93,0.8735,52.6,48.5,16.8,16.9,20.9,24.8,32.6,25.6,52.8,46.4,34.9,34.3,65.4,0.2,0.5721,0.571428571428571
104.6,89.7,0.854,50.9,45.8,20.6,23.5,28.3,31.3,34,35.4,51.7,45.9,32.9,30.5,70,1.3,0.5549,0.730769230769231
112.8,97.6,0.8402,50.7,48.5,16,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,0.5,0.5591,0.64
112.3,97.5,0.835,52,50.7,16.6,17.6,30.4,24.4,32.6,28,50.6,49.4,36.7,35.1,64.7,1,0.5764,0.653846153846154
105.2,90,0.8569,49.8,45.6,19.7,19.7,35.3,21.3,29.4,26.1,49.6,42.9,33.6,33,69,-1.1,0.5284,0.740740740740741
111.8,101.6,0.7508,54.5,48.4,15.2,18.8,31.6,24.9,25.2,29.7,54.4,49.7,36.6,30.8,66.7,1.5,0.4974,0.925925925925926
108.5,93.2,0.8516,49.6,48,21.7,16.2,32.4,27.3,30.3,25.9,46.1,47.4,36.6,32.6,69.5,-1,0.5804,0.52
108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,0.5685,0.607142857142857
107.9,97.6,0.7615,53,47.7,16.5,20.8,28.2,24.5,35.5,28,53.4,46.6,34.8,33.4,65.8,-0.2,0.5019,0.916666666666667
104.2,96.9,0.6975,53,49,19.5,22.5,35.6,22.2,35.7,33.8,53,49.2,35.3,32.4,73.8,0.9,0.4672,0.958333333333333
111.9,100.7,0.7715,55.8,51.1,17,20,28.7,27.4,29.6,30.2,56.4,51.6,36.6,33.7,69.3,-2,0.5236,0.727272727272727
104.4,94.6,0.7578,54,45.7,20.4,21.4,27.9,26.9,27.2,31.7,52.9,44.8,37.3,31.6,63.3,-2.5,0.5418,0.68
102.3,97.5,0.6353,48.2,48.1,15.6,21,32.4,25.9,23.8,36.4,50.3,48.3,30,31.9,68.3,-3.5,0.5022333,0.724137931034483
109.1,101.5,0.6969,57.4,48,15.6,17.3,23.1,22.4,25.5,29.6,56.8,47.8,38.8,32.2,63.4,-1.7,0.437,0.958333333333333
110.8,100,0.7641,57.1,45.7,13.8,16.6,27.9,25.6,31.1,25.1,55.4,49.5,40.2,26.1,71.9,0.3,0.5175,0.933333333333333
107.7,101.1,0.6729,54.1,47.5,16.5,16.5,23.9,25.8,30.4,27.7,54.2,47.6,35.9,31.6,72.2,-3.6,0.4838,0.727272727272727
101.8,94.7,0.6977,52.9,45.4,19.4,26.7,30.6,27.9,34,42.5,50.8,46.3,37.7,29.1,70,-1.1,0.4532,1
99.3,96.7,0.5778,51.9,47,22.9,18,31.3,24.9,36.8,23.1,51.8,47.6,34.7,30.7,65.6,-2,0.5062,0.821428571428571
101.1,99.5,0.545,51.2,45.6,22.4,19.6,33.4,26.1,36.1,46.3,49.9,45.8,35.5,30.1,68.5,-3.2,0.4856,0.705882352941177
107,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,49.7,49,38.8,35.6,71.4,-5.1,0.4874,0.695652173913043
102.7,96,0.6852,53,44.9,20.4,16.6,32.4,22.6,34.7,29.6,55.7,44.9,32.2,29.9,65.4,-3.2,0.4738,0.85
99.9,100.7,0.4785,50.6,48.9,18.5,20.2,30.9,31.8,31.9,37.2,52.1,50.9,31.9,30.8,66.2,-2.7,0.5109,0.730769230769231
107.9,105,0.5768,54.3,49.6,19.6,16.4,29.4,24.3,28.5,27.2,53.5,50.4,37.2,32.1,64.4,-4.5,0.4738,0.631578947368421
97.3,99.6,0.4345,50.4,47.6,19,20.4,24.8,28.6,28.6,25,51.3,50.7,32.7,28.7,66.9,-4.9,0.4692,0.652173913043478
99.4,104.1,0.3698,49.7,47.4,17.8,20.7,28.8,28.7,38.6,42,46.1,47.2,37.4,31.7,67.9,-5,0.4829,0.761904761904762
97.3,103.5,0.3307,48.3,46.5,21.4,19.2,32.9,25.7,38.9,33.8,51,45.2,27.7,32.4,71.8,-4.5,0.4827,0.695652173913043
